name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"JAKARTA OBSERVATORY, ID",7/30/2022,89.6,77,83.4,101.2,77,90.7,76.4,80.4,0,0,0,rain,0,0,11.6,13.9,32.6,1009.2,46,4.1,229.2,19.8,8,10,2022-07-30T06:03:59,2022-07-30T17:54:28,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",7/31/2022,89.7,78.8,83.8,102.6,78.8,91.6,76.1,78.7,0,0,0,rain,0,0,16.6,17.2,72.8,1008,47.1,4.1,232.1,19.9,8,30,2022-07-31T06:03:50,2022-07-31T17:54:32,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/1/2022,91.4,77,84.1,105.1,77,91.3,75.9,77.6,0,0,0,,0,0,16.8,16.1,71.6,1008.1,44.9,4.5,245.2,21.1,8,10,2022-08-01T06:03:40,2022-08-01T17:54:36,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/2/2022,89.7,78.8,84.3,100.3,78.8,92.1,75.9,76.8,0,0,0,,0,0,12.1,13.6,24.2,1008.6,44.5,3.7,238,20.5,8,10,2022-08-02T06:03:29,2022-08-02T17:54:39,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/3/2022,91.5,78.8,84.2,105.2,78.8,92.7,76.7,79.1,0.005,100,8.33,rain,0,0,15.7,12.8,79.3,1009.2,61.8,3.4,196.2,17,7,10,2022-08-03T06:03:17,2022-08-03T17:54:41,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/4/2022,87.9,75.2,81.9,100.3,75.2,87.5,76.7,85.4,0.347,100,16.67,rain,0,0,19.7,16.8,0.8,1009.9,64,3.7,177,15.4,6,30,2022-08-04T06:03:05,2022-08-04T17:54:43,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/5/2022,86.6,77,81.5,97.2,77,86.7,76.7,85.9,0.589,100,12.5,rain,0,0,13.9,16.8,331.5,1010.2,59.3,3.9,204.6,17.7,7,10,2022-08-05T06:02:52,2022-08-05T17:54:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/6/2022,89.6,75.2,82.3,98.2,75.2,86.9,74.6,79.1,0.118,100,8.33,rain,0,0,9.6,16.8,336.9,1010,51.1,3.9,238.7,20.6,8,30,2022-08-06T06:02:38,2022-08-06T17:54:46,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/7/2022,89.6,75.2,82.2,99.9,75.2,87,75,80,0.003,100,8.33,rain,0,0,24.2,10.3,17.6,1009.6,52.9,3.9,241,20.9,8,30,2022-08-07T06:02:24,2022-08-07T17:54:47,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96737099999,96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/8/2022,89.9,75.2,83,98.3,75.2,88.5,74.3,76,0,0,0,rain,0,0,11.2,11.4,318.2,1008.9,46.7,4.2,254.6,22.1,9,10,2022-08-08T06:02:09,2022-08-08T17:54:47,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,96751099999,96745099999"
"JAKARTA OBSERVATORY, ID",8/9/2022,89.7,77,83.7,100.3,77,89.6,74.1,74,0.011,100,4.17,rain,0,0,10.7,12.5,349.5,1008.8,50.9,4.2,239,20.6,8,10,2022-08-09T06:01:53,2022-08-09T17:54:46,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
"JAKARTA OBSERVATORY, ID",8/10/2022,92.7,75.2,84,103.1,75.2,89.6,74.2,74.3,0,0,0,rain,0,0,13.2,13.1,92,1009.2,46.1,3.9,243.6,21.2,9,30,2022-08-10T06:01:36,2022-08-10T17:54:46,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,WIHH,96749099999,96751099999,96745099999,96749599999"
