ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
51.503117,51.161835,0.3412819,0.3412819,Sedang,Sedang
54.39498,49.992065,4.402916,4.402916,Sedang,Baik
61.07045,55.194756,5.8756943,5.8756943,Sedang,Sedang
47.666744,54.988792,-7.322048,7.322048,Baik,Sedang
56.97681,55.668327,1.3084831,1.3084831,Sedang,Sedang
60.69852,52.280838,8.417683,8.417683,Sedang,Sedang
66.11999,62.655087,3.464901,3.464901,Sedang,Sedang
60.91991,63.106598,-2.1866875,2.1866875,Sedang,Sedang
56.22996,55.703953,0.5260086,0.5260086,Sedang,Sedang
33.654175,47.756668,-14.102493,14.102493,Baik,Baik
81.49854,84.18681,-2.6882706,2.6882706,Sedang,Sedang
79.20504,78.79936,0.4056778,0.4056778,Sedang,Sedang
81.17257,83.065315,-1.892746,1.892746,Sedang,Sedang
83.41462,85.84312,-2.4284973,2.4284973,Sedang,Sedang
76.34892,84.79014,-8.4412155,8.4412155,Sedang,Sedang
76.74221,77.3123,-0.57009125,0.57009125,Sedang,Sedang
87.79687,82.73035,5.0665207,5.0665207,Sedang,Sedang
95.38382,84.06425,11.319572,11.319572,Sedang,Sedang
91.217674,87.1636,4.054077,4.054077,Sedang,Sedang
85.12996,82.73262,2.3973389,2.3973389,Sedang,Sedang
100.17959,92.65968,7.519905,7.519905,Tidak Sehat,Sedang
97.294174,91.839676,5.4544983,5.4544983,Sedang,Sedang
78.34869,86.95693,-8.608246,8.608246,Sedang,Sedang
63.068256,75.36244,-12.294186,12.294186,Sedang,Sedang
67.01286,65.39173,1.6211319,1.6211319,Sedang,Sedang
71.58305,77.151054,-5.568001,5.568001,Sedang,Sedang
80.375,73.323875,7.0511246,7.0511246,Sedang,Sedang
86.93886,83.037,3.9018555,3.9018555,Sedang,Sedang
102.800095,87.09523,15.7048645,15.7048645,Tidak Sehat,Sedang
88.7977,90.43936,-1.6416626,1.6416626,Sedang,Sedang
82.35072,73.7998,8.550926,8.550926,Sedang,Sedang
78.6606,77.39656,1.2640381,1.2640381,Sedang,Sedang
73.65033,78.148285,-4.4979553,4.4979553,Sedang,Sedang
89.610016,77.32843,12.281586,12.281586,Sedang,Sedang
94.50549,82.49519,12.0103,12.0103,Sedang,Sedang
96.323654,90.66035,5.663307,5.663307,Sedang,Sedang
91.67866,92.27097,-0.5923157,0.5923157,Sedang,Sedang
102.03,88.501915,13.528084,13.528084,Tidak Sehat,Sedang
99.428185,84.73731,14.690872,14.690872,Sedang,Sedang
89.03623,87.434044,1.6021881,1.6021881,Sedang,Sedang
93.73553,83.36998,10.365547,10.365547,Sedang,Sedang
102.107346,92.8327,9.274643,9.274643,Tidak Sehat,Sedang
92.71523,91.865875,0.8493576,0.8493576,Sedang,Sedang
85.45118,81.25009,4.201088,4.201088,Sedang,Sedang
92.3051,82.04523,10.259872,10.259872,Sedang,Sedang
89.094055,89.67169,-0.5776367,0.5776367,Sedang,Sedang
86.70745,77.5916,9.115852,9.115852,Sedang,Sedang
99.456924,83.67523,15.7816925,15.7816925,Sedang,Sedang
86.40497,91.74629,-5.341324,5.341324,Sedang,Sedang
91.029274,85.46324,5.5660324,5.5660324,Sedang,Sedang
89.487686,87.59041,1.8972778,1.8972778,Sedang,Sedang
73.993645,86.958145,-12.9645,12.9645,Sedang,Sedang
79.35446,70.57167,8.782791,8.782791,Sedang,Sedang
80.57664,77.47561,3.1010284,3.1010284,Sedang,Sedang
74.883606,79.47333,-4.5897217,4.5897217,Sedang,Sedang
72.60407,80.04922,-7.4451447,7.4451447,Sedang,Sedang
69.078514,74.413864,-5.33535,5.33535,Sedang,Sedang
67.44308,73.72934,-6.2862625,6.2862625,Sedang,Sedang
73.58675,68.38552,5.2012253,5.2012253,Sedang,Sedang
69.93189,64.06128,5.870613,5.870613,Sedang,Sedang
61.634277,62.018715,-0.38443756,0.38443756,Sedang,Sedang
56.54643,61.96734,-5.42091,5.42091,Sedang,Sedang
19.624224,68.71293,-49.088707,49.088707,Baik,Sedang
74.408035,59.26461,15.143425,15.143425,Sedang,Sedang
72.67063,76.226974,-3.556343,3.556343,Sedang,Sedang
73.761246,73.390045,0.37120056,0.37120056,Sedang,Sedang
74.41422,74.493774,-0.0795517,0.0795517,Sedang,Sedang
82.270706,72.870964,9.399742,9.399742,Sedang,Sedang
79.020256,76.8065,2.2137527,2.2137527,Sedang,Sedang
69.69568,79.37809,-9.682411,9.682411,Sedang,Sedang
83.3463,78.774796,4.5715027,4.5715027,Sedang,Sedang
80.129875,82.56691,-2.4370346,2.4370346,Sedang,Sedang
84.53226,77.58685,6.945404,6.945404,Sedang,Sedang
105.387115,83.49756,21.889557,21.889557,Tidak Sehat,Sedang
88.20221,88.13432,0.06788635,0.06788635,Sedang,Sedang
79.19119,78.32373,0.86746216,0.86746216,Sedang,Sedang
82.08008,77.031334,5.048744,5.048744,Sedang,Sedang
67.4328,74.089355,-6.656555,6.656555,Sedang,Sedang
68.80453,69.11443,-0.309906,0.309906,Sedang,Sedang
79.07844,66.604454,12.473984,12.473984,Sedang,Sedang
87.91599,67.461464,20.454529,20.454529,Sedang,Sedang
75.06391,72.654884,2.409027,2.409027,Sedang,Sedang
88.16838,72.00172,16.166664,16.166664,Sedang,Sedang
