tanggal,station,ISPU PM2.5,kategori_pm25,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-09-25,kebun jeruk,103.29166666666669,Tidak Sehat,81.82663033531603,21.46503633135066,21.46503633135066,Tidak Sehat,Sedang
2024-09-25,kelapa gading,86.04166666666667,Sedang,77.80263765002033,8.239029016646342,8.239029016646342,Sedang,Sedang
2024-09-25,lubang buaya,60.79166666666666,Sedang,62.689669058499184,-1.8980023918325273,1.8980023918325273,Sedang,Sedang
2024-09-25,us embassy 1,84.39245897643632,Sedang,76.18151351160508,8.21094546483124,8.21094546483124,Sedang,Sedang
2024-09-25,us embassy 2,95.8593545099455,Sedang,82.07570001301264,13.783654496932868,13.783654496932868,Sedang,Sedang
2024-09-26,bundaran hi,72.70833333333333,Sedang,77.05045475351262,-4.342121420179296,4.342121420179296,Sedang,Sedang
2024-09-26,jagakarsa,64.54166666666667,Sedang,77.72328013681704,-13.181613470150367,13.181613470150367,Sedang,Sedang
2024-09-26,kebun jeruk,84.58333333333333,Sedang,88.4780043983247,-3.894671064991371,3.894671064991371,Sedang,Sedang
2024-09-26,kelapa gading,79.04166666666667,Sedang,78.70704424934401,0.33462241732266307,0.33462241732266307,Sedang,Sedang
2024-09-26,lubang buaya,54.41666666666666,Sedang,60.60964029794575,-6.192973631279095,6.192973631279095,Sedang,Sedang
2024-09-26,us embassy 1,74.79828354857854,Sedang,76.25271143314824,-1.4544278845696965,1.4544278845696965,Sedang,Sedang
2024-09-26,us embassy 2,85.60785826816202,Sedang,78.80081228236152,6.8070459858004995,6.8070459858004995,Sedang,Sedang
2024-09-27,bundaran hi,72.0,Sedang,75.69981320053529,-3.6998132005352886,3.6998132005352886,Sedang,Sedang
2024-09-27,jagakarsa,65.83333333333333,Sedang,63.66010377232974,2.1732295610035877,2.1732295610035877,Sedang,Sedang
2024-09-27,kebun jeruk,81.45833333333333,Sedang,81.53508680146045,-0.07675346812712291,0.07675346812712291,Sedang,Sedang
2024-09-27,kelapa gading,78.75,Sedang,79.37435247340267,-0.6243524734026664,0.6243524734026664,Sedang,Sedang
2024-09-27,lubang buaya,51.75,Sedang,62.49649050549937,-10.746490505499366,10.746490505499366,Sedang,Sedang
2024-09-27,us embassy 1,75.69753479039584,Sedang,76.19229626144664,-0.4947614710508077,0.4947614710508077,Sedang,Sedang
2024-09-27,us embassy 2,82.2092497455096,Sedang,84.11950350791429,-1.9102537624046931,1.9102537624046931,Sedang,Sedang
2024-09-28,bundaran hi,81.70833333333333,Sedang,75.42349002057367,6.284843312759662,6.284843312759662,Sedang,Sedang
2024-09-28,jagakarsa,78.58333333333333,Sedang,70.01173917433104,8.571594159002288,8.571594159002288,Sedang,Sedang
2024-09-28,kebun jeruk,95.91666666666669,Sedang,80.55927427393816,15.357392392728528,15.357392392728528,Sedang,Sedang
2024-09-28,kelapa gading,73.45833333333333,Sedang,76.94991092308891,-3.491577589755579,3.491577589755579,Sedang,Sedang
2024-09-28,lubang buaya,59.708333333333336,Sedang,58.12996333693534,1.5783699963979956,1.5783699963979956,Sedang,Sedang
2024-09-28,us embassy 1,71.8354338520243,Sedang,78.20635857459595,-6.370924722571658,6.370924722571658,Sedang,Sedang
2024-09-28,us embassy 2,88.2028762521761,Sedang,83.89220970466853,4.310666547507566,4.310666547507566,Sedang,Sedang
2024-09-29,bundaran hi,74.0,Sedang,81.69700331803416,-7.697003318034163,7.697003318034163,Sedang,Sedang
