tanggal,station,ISPU PM2.5,prediksi_pm25,residual,abs_error,kategori_aktual,kategori_prediksi
2024-10-29,bundaran hi,58.583332,70.65477,-12.071438,12.071438,Sedang,Sedang
2024-10-30,bundaran hi,74.0,73.30622,0.693779,0.693779,Sedang,Sedang
2024-10-31,bundaran hi,74.0,78.228966,-4.2289658,4.2289658,Sedang,Sedang
2024-11-01,bundaran hi,82.333336,75.51814,6.815193,6.815193,Sedang,Sedang
2024-11-02,bundaran hi,86.708336,77.43975,9.268585,9.268585,Sedang,Sedang
2024-11-03,bundaran hi,72.208336,67.294464,4.913872,4.913872,Sedang,Sedang
2024-11-04,bundaran hi,61.958332,68.33066,-6.372326,6.372326,Sedang,Sedang
2024-11-05,bundaran hi,63.166668,75.946045,-12.779377,12.779377,Sedang,Sedang
2024-11-06,bundaran hi,60.625,72.39095,-11.765953,11.765953,Sedang,Sedang
2024-11-07,bundaran hi,76.125,69.2387,6.886299,6.886299,Sedang,Sedang
2024-11-08,bundaran hi,85.166664,78.5938,6.5728607,6.5728607,Sedang,Sedang
2024-11-09,bundaran hi,94.458336,83.82631,10.632027,10.632027,Sedang,Sedang
2024-11-10,bundaran hi,74.0,82.31242,-8.312424,8.312424,Sedang,Sedang
2024-11-11,bundaran hi,74.0,63.741653,10.258347,10.258347,Sedang,Sedang
2024-11-12,bundaran hi,63.541668,66.26984,-2.7281685,2.7281685,Sedang,Sedang
2024-11-13,bundaran hi,69.583336,72.3107,-2.7273636,2.7273636,Sedang,Sedang
2024-11-14,bundaran hi,93.25,76.95378,16.296219,16.296219,Sedang,Sedang
2024-11-15,bundaran hi,103.25,89.6856,13.5644,13.5644,Tidak Sehat,Sedang
2024-11-16,bundaran hi,107.75,92.52334,15.226662,15.226662,Tidak Sehat,Sedang
2024-11-17,bundaran hi,114.625,88.7068,25.918198,25.918198,Tidak Sehat,Sedang
2024-11-18,bundaran hi,78.25,90.400406,-12.150406,12.150406,Sedang,Sedang
2024-11-19,bundaran hi,61.291668,77.93724,-16.645573,16.645573,Sedang,Sedang
2024-11-20,bundaran hi,62.25,76.19135,-13.941353,13.941353,Sedang,Sedang
2024-11-21,bundaran hi,74.0,73.18593,0.81407166,0.81407166,Sedang,Sedang
2024-11-22,bundaran hi,68.833336,76.7067,-7.8733673,7.8733673,Sedang,Sedang
2024-11-23,bundaran hi,51.208332,69.37592,-18.167591,18.167591,Sedang,Sedang
2024-11-24,bundaran hi,51.958332,50.21824,1.7400932,1.7400932,Sedang,Sedang
2024-11-25,bundaran hi,42.958332,60.241722,-17.28339,17.28339,Baik,Sedang
2024-11-26,bundaran hi,53.125,48.376736,4.7482643,4.7482643,Sedang,Baik
2024-11-27,bundaran hi,9.75,66.05706,-56.30706,56.30706,Baik,Sedang
2024-11-28,bundaran hi,42.416668,48.096306,-5.679638,5.679638,Baik,Baik
2024-11-29,bundaran hi,37.5,46.656975,-9.156975,9.156975,Baik,Baik
2024-11-30,bundaran hi,38.666668,39.847267,-1.1805992,1.1805992,Baik,Baik
2024-12-01,bundaran hi,39.458332,49.887596,-10.429264,10.429264,Baik,Baik
2024-12-02,bundaran hi,27.083334,34.50031,-7.416975,7.416975,Baik,Baik
2024-12-03,bundaran hi,17.166666,34.547848,-17.381182,17.381182,Baik,Baik
2024-12-04,bundaran hi,74.0,38.9053,35.0947,35.0947,Sedang,Baik
2024-12-05,bundaran hi,74.0,58.116848,15.883152,15.883152,Sedang,Sedang
2024-12-06,bundaran hi,74.0,57.737476,16.262524,16.262524,Sedang,Sedang
2024-12-07,bundaran hi,74.0,60.371338,13.628662,13.628662,Sedang,Sedang
2024-12-08,bundaran hi,74.0,67.48204,6.5179596,6.5179596,Sedang,Sedang
2024-12-09,bundaran hi,74.0,56.9316,17.068401,17.068401,Sedang,Sedang
2024-12-10,bundaran hi,44.75,62.94681,-18.196812,18.196812,Baik,Sedang
2024-12-11,bundaran hi,10.041667,53.926086,-43.88442,43.88442,Baik,Sedang
2024-12-12,bundaran hi,30.958334,47.535114,-16.57678,16.57678,Baik,Baik
2024-12-13,bundaran hi,39.666668,41.396416,-1.7297478,1.7297478,Baik,Baik
2024-12-14,bundaran hi,38.708332,47.438835,-8.730503,8.730503,Baik,Baik
2024-12-15,bundaran hi,29.083334,40.12003,-11.0366955,11.0366955,Baik,Baik
2024-12-16,bundaran hi,31.875,41.448986,-9.573986,9.573986,Baik,Baik
2024-12-17,bundaran hi,32.958332,50.56327,-17.604939,17.604939,Baik,Sedang
2024-12-18,bundaran hi,35.0,53.194813,-18.194813,18.194813,Baik,Sedang
2024-12-19,bundaran hi,18.791666,50.830273,-32.038605,32.038605,Baik,Sedang
2024-12-20,bundaran hi,35.041668,41.61183,-6.5701637,6.5701637,Baik,Baik
2024-12-21,bundaran hi,74.0,39.352642,34.647358,34.647358,Sedang,Baik
2024-12-22,bundaran hi,74.0,65.49395,8.50605,8.50605,Sedang,Sedang
2024-12-23,bundaran hi,74.0,60.24726,13.752739,13.752739,Sedang,Sedang
2024-12-24,bundaran hi,74.0,62.137592,11.862408,11.862408,Sedang,Sedang
2024-12-25,bundaran hi,74.0,62.797234,11.202766,11.202766,Sedang,Sedang
2024-12-26,bundaran hi,74.0,66.76956,7.230438,7.230438,Sedang,Sedang
2024-12-27,bundaran hi,67.875,63.835262,4.0397377,4.0397377,Sedang,Sedang
2024-12-28,bundaran hi,74.0,68.88768,5.11232,5.11232,Sedang,Sedang
2024-12-29,bundaran hi,74.0,69.79053,4.2094727,4.2094727,Sedang,Sedang
2024-12-30,bundaran hi,74.0,67.40474,6.5952606,6.5952606,Sedang,Sedang
2024-12-31,bundaran hi,48.125,60.146385,-12.021385,12.021385,Baik,Sedang
2024-07-21,jagakarsa,83.333336,86.51993,-3.186592,3.186592,Sedang,Sedang
2024-07-22,jagakarsa,80.125,80.18695,-0.061950684,0.061950684,Sedang,Sedang
2024-07-23,jagakarsa,82.291664,83.24834,-0.95667267,0.95667267,Sedang,Sedang
2024-07-24,jagakarsa,83.375,85.94159,-2.5665894,2.5665894,Sedang,Sedang
2024-07-25,jagakarsa,72.208336,83.974724,-11.766388,11.766388,Sedang,Sedang
